Year,Average monthy payment ,Amount in Fund
1990,602.56,2.25277E+11
1991,629.32,2.80747E+11
1992,652.64,3.31473E+11
1993,674.06,3.78285E+11
1994,697.34,4.36385E+11
1995,719.8,4.96068E+11
1996,744.96,5.6695E+11
1997,774.84,6.5551E+11
1998,779.69,7.6246E+11
1999,804.3,8.96133E+11
2000,844.48,1.04945E+12
2001,874.44,1.21253E+12
2002,895,1.37797E+12
2003,922.08,1.53076E+12
2004,954.89,1.68684E+12
2005,1002,1.85866E+12
2006,1044.4,2.04811E+12
2007,1078.6,2.2385E+12
2008,1152.9,2.41866E+12
2009,1164.3,2.54035E+12
2010,1175.5,2.60895E+12
2011,1228.57,2.67793E+12
2012,1261.61,2.73233E+12
2013,1293.83,2.76443E+12
2014,1328.58,2.78948E+12
2015,1353.41,2.81251E+12
