Year,AGE GROUP LOWER,AGE GROUP UPPER,MEDIAN INCOME,,
1990,0,4,0.00,,
1990,5,14,0.00,,
1990,15,24,5565.00,,
1990,25,34,17089.00,,
1990,35,44,21344.00,,
1990,45,54,21485.00,,
1990,55,64,15721.00,,
1990,65,74,11228.00,,
1990,75,101,9124.00,,
1991,0,4,0.00,,
1991,5,14,0.00,,
1991,15,24,5711.00,,
1991,25,34,17401.00,,
1991,35,44,21582.00,,
1991,45,54,22047.00,,
1991,55,64,16420.00,,
1991,65,74,10908.00,,
1991,75,101,9692.00,,
1992,0,4,0.00,,
1992,5,14,0.00,,
1992,15,24,5706.00,,
1992,25,34,17602.00,,
1992,35,44,21799.00,,
1992,45,54,22907.00,,
1992,55,64,16707.00,,
1992,65,74,11137.00,,
1992,75,101,9546.00,,
1993,0,4,0.00,,
1993,5,14,0.00,,
1993,15,24,5860.00,,
1993,25,34,18015.00,,
1993,35,44,22344.00,,
1993,45,54,23677.00,,
1993,55,64,16772.00,,
1993,65,74,11595.00,,
1993,75,101,9879.00,,
1994,0,4,0.00,,
1994,5,14,0.00,,
1994,15,24,6232.00,,
1994,25,34,18815.00,,
1994,35,44,22809.00,,
1994,45,54,24993.00,,
1994,55,64,17453.00,,
1994,65,74,11960.00,,
1994,75,101,10579.00,,
1995,0,4,0.00,,
1995,5,14,0.00,,
1995,15,24,6071.00,,
1995,25,34,19723.00,,
1995,35,44,23915.00,,
1995,45,54,25710.00,,
1995,55,64,19314.00,,
1995,65,74,12747.00,,
1995,75,101,11020.00,,
1996,0,4,0.00,,
1996,5,14,0.00,,
1996,15,24,6403.00,,
1996,25,34,20909.00,,
1996,35,44,25149.00,,
1996,45,54,26477.00,,
1996,55,64,20260.00,,
1996,65,74,13109.00,,
1996,75,101,11352.00,,
1997,0,4,0.00,,
1997,5,14,0.00,,
1997,15,24,6862.00,,
1997,25,34,21821.00,,
1997,35,44,25897.00,,
1997,45,54,28131.00,,
1997,55,64,21349.00,,
1997,65,74,13827.00,,
1997,75,101,11890.00,,
1998,0,4,0.00,,
1998,5,14,0.00,,
1998,15,24,7190.00,,
1998,25,34,23147.00,,
1998,35,44,27127.00,,
1998,45,54,29573.00,,
1998,55,64,22209.00,,
1998,65,74,14136.00,,
1998,75,101,12366.00,,
1999,0,4,0.00,,
1999,5,14,0.00,,
1999,15,24,7348.00,,
1999,25,34,24293.00,,
1999,35,44,28023.00,,
1999,45,54,30707.00,,
1999,55,64,23239.00,,
1999,65,74,14984.00,,
1999,75,101,12805.00,,
2000,0,4,0.00,,
2000,5,14,0.00,,
2000,15,24,8371.00,,
2000,25,34,25559.00,,
2000,35,44,30149.00,,
2000,45,54,31409.00,,
2000,55,64,24415.00,,
2000,65,74,14731.00,,
2000,75,101,12895.00,,
2001,0,4,0.00,,
2001,5,14,0.00,,
2001,15,24,8329.00,,
2001,25,34,26086.00,,
2001,35,44,30404.00,,
2001,45,54,31738.00,,
2001,55,64,25801.00,,
2001,65,74,15111.00,,
2001,75,101,13362.00,,
2002,0,4,0.00,,
2002,5,14,0.00,,
2002,15,24,8578.00,,
2002,25,34,26337.00,,
2002,35,44,30218.00,,
2002,45,54,31856.00,,
2002,55,64,26749.00,,
2002,65,74,15319.00,,
2002,75,101,13449.00,,
2003,0,4,0.00,,
2003,5,14,0.00,,
2003,15,24,8614.00,,
2003,25,34,26212.00,,
2003,35,44,30914.00,,
2003,45,54,32583.00,,
2003,55,64,28068.00,,
2003,65,74,16227.00,,
2003,75,101,13635.00,,
2004,0,4,0.00,,
2004,5,14,0.00,,
2004,15,24,8817.00,,
2004,25,34,26676.00,,
2004,35,44,31628.00,,
2004,45,54,32867.00,,
2004,55,64,28543.00,,
2004,65,74,16823.00,,
2004,75,101,14145.00,,
2005,0,4,0.00,,
2005,5,14,0.00,,
2005,15,24,9294.00,,
2005,25,34,27075.00,,
2005,35,44,32729.00,,
2005,45,54,35172.00,,
2005,55,64,30589.00,,
2005,65,74,16972.00,,
2005,75,101,14601.00,,
2006,0,4,0.00,,
2006,5,14,0.00,,
2006,15,24,9906.00,,
2006,25,34,28709.00,,
2006,35,44,35036.00,,
2006,45,54,36002.00,,28309.60
2006,55,64,31895.00,,
2006,65,74,19006.00,,
2006,75,101,15658.00,,
2007,0,4,0.00,,
2007,5,14,0.00,,
2007,15,24,10128.00,,
2007,25,34,30179.00,,
2007,35,44,35904.00,,
2007,45,54,36713.00,,
2007,55,64,32891.00,,
2007,65,74,19610.00,,
2007,75,101,16054.00,,
2008,0,4,0.00,,
2008,5,14,0.00,,
2008,15,24,9862.00,,
2008,25,34,30182.00,,
2008,35,44,35767.00,,
2008,45,54,35982.00,,
2008,55,64,32077.00,,
2008,65,74,20517.00,,
2008,75,101,16757.00,,
2009,0,4,0.00,,
2009,5,14,0.00,,
2009,15,24,9505.00,,
2009,25,34,28729.00,,
2009,35,44,35414.00,,
2009,45,54,35891.00,,
2009,55,64,31778.00,,
2009,65,74,21379.00,,
2009,75,101,17316.00,,
2010,0,4,0.00,,
2010,5,14,0.00,,
2010,15,24,9269.00,,
2010,25,34,29265.00,,
2010,35,44,35842.00,,
2010,45,54,35745.00,,
2010,55,64,32169.00,,
2010,65,74,21381.00,,
2010,75,101,16938.00,,
2011,0,4,0.00,,
2011,5,14,0.00,,
2011,15,24,9808.00,,
2011,25,34,30134.00,,
2011,35,44,36109.00,,
2011,45,54,36515.00,,
2011,55,64,32744.00,,
2011,65,74,22705.00,,
2011,75,101,17577.00,,
2012,0,4,0.00,,
2012,5,14,0.00,,
2012,15,24,10244.00,,
2012,25,34,30502.00,,
2012,35,44,36800.00,,
2012,45,54,36752.00,,
2012,55,64,33795.00,,
2012,65,74,23288.00,,
2012,75,101,17953.00,,
2013,0,4,0.00,,
2013,0,4,0.00,,
2013,5,14,0.00,,
2013,5,14,0.00,,
2013,15,24,10349.00,,
2013,15,24,10678.00,,
2013,25,34,30312.00,,
2013,25,34,30759.00,,
2013,35,44,37252.00,,
2013,35,44,37750.00,,
2013,45,54,37524.00,,
2013,45,54,38643.00,,
2013,55,64,35299.00,,
2013,55,64,33699.00,,
2013,65,74,24680.00,,
2013,65,74,24644.00,,
2013,75,101,18910.00,,
2013,75,101,18177.00,,
2014,0,4,0.00,,
2014,5,14,0.00,,
2014,15,24,10420.00,,
2014,25,34,31219.00,,
2014,35,44,38680.00,,
2014,45,54,40000.00,,
2014,55,64,34498.00,,
2014,65,74,25143.00,,
2014,75,101,19209.00,,
2015,0,4,0.00,,
2015,5,14,0.00,,
2015,15,24,10975.00,,
2015,25,34,32481.00,,
2015,35,44,40728.00,,
2015,45,54,40668.00,,
2015,55,64,35873.00,,
2015,65,74,25665.00,,
2015,75,101,20230.00,,
