Age_Lower,Age_Upper,Population,Year
0,4,18887075.0,1990
0,4,40316240.049,1995
0,4,40696052.1042,2000
0,4,41082244.3531,2005
0,4,39503244.0911,2010
0,4,38056067.6508,2015
5,9,17680190.0,1990
5,9,18827363.5124,1995
5,9,40188780.2561,2000
5,9,40567391.5355,2005
5,9,40952362.8376,2010
5,9,39378354.5849,2015
10,14,17680190.0,1990
10,14,17624294.0793,1995
10,14,18767840.8026,2000
10,14,40061723.4273,2005
10,14,40439137.7271,2010
10,14,40822891.9424,2015
15,19,18096948.0,1990
15,19,17624294.0793,1995
15,19,17568574.8736,2000
15,19,18708506.2739,2005
15,19,39935068.2887,2010
15,19,40311289.3932,2015
20,24,18096948.0,1990
20,24,18093782.6809,1995
20,24,17621211.4317,2000
20,24,17565501.9717,2005
20,24,18705233.9878,2010
20,24,39928083.2858,2015
25,29,21287254.0,1990
25,29,18093782.6809,1995
25,29,18090617.9155,2000
25,29,17618129.3232,2005
25,29,17562429.6073,2010
25,29,18701962.2741,2015
30,34,21287254.0,1990
30,34,21276048.3895,1995
30,34,18084258.1137,2000
30,34,18081095.0142,2005
30,34,17608855.1399,2010
30,34,17553184.7444,2015
35,39,18824729.0,1990
35,39,21276048.3895,1995
35,39,21264848.6776,2000
35,39,18074738.5602,2005
35,39,18071577.1258,2010
35,39,17599585.8386,2015
40,44,18824729.0,1990
40,44,18805271.7601,1995
40,44,21254057.4659,2000
40,44,21242869.33,2005
40,44,18056056.5105,2010
40,44,18052898.3437,2015
45,49,12621373.0,1990
45,49,18805271.7601,1995
45,49,18785834.6312,2000
45,49,21232089.2721,2005
45,49,21220912.7003,2010
45,49,18037393.7705,2015
50,54,12621373.0,1990
50,54,12592391.8033,1995
50,54,18762091.0951,2000
50,54,18742698.5977,2005
50,54,21183336.1487,2010
50,54,21172185.2405,2015
55,59,10548363.0,1990
55,59,12592391.8033,1995
55,59,12563477.1533,2000
55,59,18719009.5815,2005
55,59,18699661.6132,2010
55,59,21134694.9722,2015
60,64,10548363.0,1990
60,64,10491586.4362,1995
60,64,12524613.2544,2000
60,64,12495854.2375,2005
60,64,18618254.5124,2010
60,64,18599010.6846,2015
65,69,9060843.0,1990
65,69,10491586.4362,1995
65,69,10435115.4722,2000
65,69,12457199.5236,2005
65,69,12428595.302,2010
65,69,18518041.7575,2015
70,74,9060843.0,1990
70,74,8961392.9994,1995
70,74,10376432.8817,2000
70,74,10320581.7318,2005
70,74,12320471.7931,2010
70,74,12292181.5257,2015
75,79,6590619.0,1990
75,79,8961392.9994,1995
75,79,8863034.54212,2000
75,79,10262543.2297,2005
75,79,10207305.0908,2010
75,79,12185244.7588,2015
