Age_Lower,Age_Upper,Population,Year
0,4,18887075.0,1990
0,4,40316240.049,1991
0,4,40696052.1042,1992
0,4,41082244.3531,1993
0,4,39503244.0911,1994
0,4,38056067.6508,1995
0,4,38151793.2991,1996
0,4,47458852.9036,1997
0,4,57465955.3669,1998
0,4,68950176.2611,1999
0,4,79349038.6219,2000
0,4,80545794.7711,2001
0,4,81495459.1205,2002
0,4,84339496.1689,2003
0,4,92163876.9597,2004
0,4,106023641.744,2005
0,4,125062151.948,2006
0,4,141686966.954,2007
0,4,155338856.889,2008
0,4,164883947.609,2009
0,4,172861722.498,2010
0,4,185544711.339,2011
0,4,205636906.239,2012
0,4,232500255.951,2013
0,4,263164975.689,2014
0,4,293144121.953,2015
5,9,17680190.0,1990
5,9,18827363.5124,1991
5,9,40188780.2561,1992
5,9,40567391.5355,1993
5,9,40952362.8376,1994
5,9,39378354.5849,1995
5,9,37935753.3929,1996
5,9,38031176.4046,1997
5,9,47308811.7401,1998
5,9,57284276.749,1999
5,9,68732190.2789,2000
5,9,79098176.6363,2001
5,9,80291149.241,2002
5,9,81237811.2265,2003
5,9,84072856.8518,2004
5,9,91872500.8627,2005
5,9,105688448.001,2006
5,9,124666767.954,2007
5,9,141239023.608,2008
5,9,154847753.093,2009
5,9,164362667.009,2010
5,9,172315220.162,2011
5,9,184958111.734,2012
5,9,204986785.16,2013
5,9,231765206.392,2014
5,9,262332979.618,2015
10,14,17680190.0,1990
10,14,17624294.0793,1991
10,14,18767840.8026,1992
10,14,40061723.4273,1993
10,14,40439137.7271,1994
10,14,40822891.9424,1995
10,14,39253859.9169,1996
10,14,37815819.5086,1997
10,14,37910940.8404,1998
10,14,47159244.9318,1999
10,14,57103172.508,2000
10,14,68514893.4593,2001
10,14,78848107.7509,2002
10,14,80037308.7726,2003
10,14,80980977.8863,2004
10,14,83807060.5148,2005
10,14,91582045.9513,2006
10,14,105354313.973,2007
10,14,124272633.967,2008
10,14,140792496.435,2009
10,14,154358201.921,2010
10,14,163843034.437,2011
10,14,171770445.594,2012
10,14,184373366.664,2013
10,14,204338719.438,2014
10,14,231032480.692,2015
15,19,18096948.0,1990
15,19,17624294.0793,1991
15,19,17568574.8736,1992
15,19,18708506.2739,1993
15,19,39935068.2887,1994
15,19,40311289.3932,1995
15,19,40693830.3696,1996
15,19,39129758.8388,1997
15,19,37696264.7952,1998
15,19,37791085.401,1999
15,19,47010150.9789,2000
15,19,56922640.8282,2001
15,19,68298283.6236,2002
15,19,78598829.4582,2003
15,19,79784270.821,2004
15,19,80724956.5247,2005
15,19,83542104.493,2006
15,19,91292509.313,2007
15,19,105021236.309,2008
15,19,123879746.035,2009
15,19,140347380.957,2010
15,19,153870198.466,2011
15,19,163325044.684,2012
15,19,171227393.33,2013
15,19,183790470.265,2014
15,19,203692702.577,2015
20,24,18096948.0,1990
20,24,18093782.6809,1991
20,24,17621211.4317,1992
20,24,17565501.9717,1993
20,24,18705233.9878,1994
20,24,39928083.2858,1995
20,24,40304238.5859,1996
20,24,40686712.6524,1997
20,24,39122914.6918,1998
20,24,37689671.3792,1999
20,24,37784475.4,2000
20,24,47001928.4804,2001
20,24,56912684.546,2002
20,24,68286337.6391,2003
20,24,78585081.8156,2004
20,24,79770315.8339,2005
20,24,80710837.0033,2006
20,24,83527492.2271,2007
20,24,91276541.4315,2008
20,24,105002867.15,2009
20,24,123858078.352,2010
20,24,140322832.937,2011
20,24,153843285.183,2012
20,24,163296477.664,2013
20,24,171197444.118,2014
20,24,183758323.658,2015
25,29,21287254.0,1990
25,29,18093782.6809,1991
25,29,18090617.9155,1992
25,29,17618129.3232,1993
25,29,17562429.6073,1994
25,29,18701962.2741,1995
25,29,39921099.5047,1996
25,29,40297189.0118,1997
25,29,40679596.1802,1998
25,29,39116071.7419,1999
25,29,37683079.1165,2000
25,29,37777866.5552,2001
25,29,46993707.4201,2002
25,29,56902730.0052,2003
25,29,68274393.7441,2004
25,29,78571336.5775,2005
25,29,79756363.2878,2006
25,29,80696719.9515,2007
25,29,83512882.5169,2008
25,29,91260576.3429,2009
25,29,104984501.203,2010
25,29,123836414.46,2011
25,29,140298289.211,2012
25,29,153816376.608,2013
25,29,163267915.64,2014
25,29,171167500.144,2015
30,34,21287254.0,1990
30,34,21276048.3895,1991
30,34,18084258.1137,1992
30,34,18081095.0142,1993
30,34,17608855.1399,1994
30,34,17553184.7444,1995
30,34,18692117.5611,1996
30,34,39900085.0379,1997
30,34,40275976.5715,1998
30,34,40658182.4407,1999
30,34,39095481.0417,2000
30,34,37663242.7436,2001
30,34,37757980.2862,2002
30,34,46968969.9325,2003
30,34,56872776.4082,2004
30,34,68238454.1032,2005
30,34,78529976.6259,2006
30,34,79714379.5381,2007
30,34,80654241.1981,2008
30,34,83468921.3356,2009
30,34,91212536.7755,2010
30,34,104929237.362,2011
30,34,123771226.971,2012
30,34,140224436.192,2013
30,34,153735407.668,2014
30,34,163181971.409,2015
35,39,18824729.0,1990
35,39,21276048.3895,1991
35,39,21264848.6776,1992
35,39,18074738.5602,1993
35,39,18071577.1258,1994
35,39,17599585.8386,1995
35,39,17543944.7479,1996
35,39,18682278.0304,1997
35,39,39879081.6332,1998
