Age_Lower,Age_Upper,Population,Year
0,4,19907280.0,1990
0,4,8029644.5,1991
0,4,7964727.0,1992
0,4,6618546.5,1993
0,4,3759581.0,1994
0,4,1871509.5,1995
0,4,1410254.0,1996
0,4,1119166.625,1997
0,4,690781.375,1998
0,4,384223.40625,1999
0,4,261318.875,2000
0,4,194368.71875,2001
0,4,125853.007812,2002
0,4,74760.7578125,2003
0,4,48941.6679688,2004
0,4,34607.4960938,2005
0,4,22870.75,2006
0,4,14166.3466797,2007
0,4,9161.83203125,2008
0,4,6265.26757812,2009
0,4,4163.82128906,2010
0,4,2646.52319336,2011
0,4,1709.31616211,2012
0,4,1145.33007812,2013
0,4,760.498718262,2014
0,4,490.745422363,2015
5,14,41109504.0,1990
5,14,19844344.0,1991
5,14,8004259.0,1992
5,14,7939546.5,1993
5,14,6597622.0,1994
5,14,3747695.0,1995
5,14,1865592.75,1996
5,14,1405795.5,1997
5,14,1115628.375,1998
5,14,688597.5,1999
5,14,383008.6875,2000
5,14,260492.71875,2001
5,14,193754.21875,2002
5,14,125455.125,2003
5,14,74524.40625,2004
5,14,48786.9375,2005
5,14,34498.0859375,2006
5,14,22798.4453125,2007
5,14,14121.5595703,2008
5,14,9132.8671875,2009
5,14,6245.45996094,2010
5,14,4150.65722656,2011
5,14,2638.15625,2012
5,14,1703.91223145,2013
5,14,1141.70910645,2014
5,14,758.094421387,2015
15,24,43848216.0,1990
15,24,41102316.0,1991
15,24,19840874.0,1992
15,24,8002859.0,1993
15,24,7938158.0,1994
15,24,6596468.0,1995
15,24,3747039.5,1996
15,24,1865266.5,1997
15,24,1405549.625,1998
15,24,1115433.25,1999
15,24,688477.0625,2000
15,24,382941.71875,2001
15,24,260447.15625,2002
15,24,193720.328125,2003
15,24,125433.1875,2004
15,24,74511.375,2005
15,24,48778.40625,2006
15,24,34492.0546875,2007
15,24,22794.4589844,2008
15,24,14119.0898438,2009
15,24,9131.27050781,2010
15,24,6244.36767578,2011
15,24,4149.93115234,2012
15,24,2637.69482422,2013
15,24,1703.61425781,2014
15,24,1141.50939941,2015
25,34,44137200.0,1990
25,34,43825132.0,1991
25,34,41080680.0,1992
25,34,19830430.0,1993
25,34,7998646.0,1994
25,34,7933979.0,1995
25,34,6592995.5,1996
25,34,3745067.0,1997
25,34,1864284.625,1998
25,34,1404809.75,1999
25,34,1114846.0,2000
25,34,688114.625,2001
25,34,382740.125,2002
25,34,260310.046875,2003
25,34,193618.34375,2004
25,34,125367.15625,2005
25,34,74472.1484375,2006
25,34,48752.7265625,2007
25,34,34473.8984375,2008
25,34,22782.4589844,2009
25,34,14111.6572266,2010
25,34,9126.46386719,2011
25,34,6241.08056641,2012
25,34,4147.74658203,2013
25,34,2636.30615234,2014
25,34,1702.71740723,2015
35,44,40589784.0,1990
35,44,44091580.0,1991
35,44,43779836.0,1992
35,44,41038220.0,1993
35,44,19809934.0,1994
35,44,7990378.5,1995
35,44,7925778.5,1996
35,44,6586181.0,1997
35,44,3741196.0,1998
35,44,1862357.75,1999
35,44,1403357.75,2000
35,44,1113693.75,2001
35,44,687403.375,2002
35,44,382344.53125,2003
35,44,260040.984375,2004
35,44,193418.21875,2005
35,44,125237.578125,2006
35,44,74395.171875,2007
35,44,48702.3359375,2008
35,44,34438.265625,2009
35,44,22758.9101562,2010
35,44,14097.0712891,2011
35,44,9117.03027344,2012
35,44,6234.62988281,2013
35,44,4143.45947266,2014
35,44,2633.58129883,2015
45,54,43188160.0,1990
45,54,40496580.0,1991
45,54,43990336.0,1992
45,54,43679308.0,1993
45,54,40943988.0,1994
45,54,19764446.0,1995
45,54,7972031.0,1996
45,54,7907579.5,1997
45,54,6571057.5,1998
45,54,3732605.5,1999
45,54,1858081.375,2000
45,54,1400135.375,2001
45,54,1111136.5,2002
45,54,685824.9375,2003
45,54,381466.59375,2004
45,54,259443.875,2005
45,54,192974.09375,2006
45,54,124950.007812,2007
45,54,74224.34375,2008
45,54,48590.5039062,2009
45,54,34359.1875,2010
45,54,22706.6503906,2011
45,54,14064.7011719,2012
45,54,9096.09570312,2013
45,54,6220.31396484,2014
45,54,4133.9453125,2015
55,64,40877820.0,1990
55,64,42955700.0,1991
55,64,40278608.0,1992
55,64,43753560.0,1993
55,64,43444204.0,1994
55,64,40723608.0,1995
55,64,19658064.0,1996
55,64,7929121.5,1997
55,64,7865017.0,1998
55,64,6535689.0,1999
55,64,3712514.75,2000
55,64,1848080.25,2001
55,64,1392599.125,2002
55,64,1105155.875,2003
55,64,682133.5,2004
55,64,379413.34375,2005
55,64,258047.421875,2006
55,64,191935.421875,2007
55,64,124277.46875,2008
55,64,73824.8359375,2009
55,64,48328.9648438,2010
55,64,34174.25,2011
55,64,22584.4316406,2012
55,64,13988.9980469,2013
55,64,9047.13574219,2014
55,64,6186.83349609,2015
65,74,27550516.0,1990
65,74,40429156.0,1991
65,74,42484228.0,1992
65,74,39836520.0,1993
65,74,43273332.0,1994
65,74,42967372.0,1995
65,74,40276636.0,1996
65,74,19442302.0,1997
65,74,7842093.0,1998
65,74,7778692.5,1999
65,74,6463954.5,2000
65,74,3671767.0,2001
65,74,1827796.125,2002
65,74,1377314.25,2003
65,74,1093025.875,2004
65,74,674646.5625,2005
65,74,375249.0,2006
65,74,255215.15625,2007
65,74,189828.78125,2008
65,74,122913.429688,2009
65,74,73014.5546875,2010
65,74,47798.515625,2011
65,74,33799.1601562,2012
65,74,22336.5507812,2013
65,74,13835.4580078,2014
65,74,8947.8359375,2015
75,100,20210336.0,1990
75,100,26927676.0,1991
75,100,39515164.0,1992
75,100,41523780.0,1993
75,100,38935928.0,1994
75,100,42295044.0,1995
75,100,41996000.0,1996
75,100,39366092.0,1997
75,100,19002766.0,1998
75,100,7664805.0,1999
75,100,7602838.0,2000
75,100,6317822.5,2001
75,100,3588758.5,2002
75,100,1786474.75,2003
75,100,1346177.0,2004
75,100,1068315.625,2005
75,100,659394.6875,2006
75,100,366765.65625,2007
75,100,249445.453125,2008
75,100,185537.28125,2009
75,100,120134.703125,2010
75,100,71363.8984375,2011
75,100,46717.9257812,2012
75,100,33035.0546875,2013
75,100,21831.5839844,2014
75,100,13522.6767578,2015
