Age_Lower,Age_Upper,Population,Year
0,4,18887076.0,1990
0,4,41129364.0,1991
0,4,37893752.0,1992
0,4,29747756.0,1993
0,4,31114944.0,1994
0,4,39233824.0,1995
0,4,36085292.0,1996
0,4,32387944.0,1997
0,4,35861732.0,1998
0,4,38634488.0,1999
0,4,36210328.0,2000
0,4,35622440.0,2001
0,4,38217776.0,2002
0,4,38853924.0,2003
0,4,37660256.0,2004
0,4,38289560.0,2005
0,4,39803144.0,2006
0,4,39840916.0,2007
0,4,39592024.0,2008
0,4,40462712.0,2009
0,4,41292276.0,2010
0,4,41348564.0,2011
0,4,41617456.0,2012
0,4,42395300.0,2013
0,4,42917496.0,2014
0,4,43146920.0,2015
5,14,35360380.0,1990
5,14,18827364.0,1991
5,14,40999332.0,1992
5,14,37773952.0,1993
5,14,29653708.0,1994
5,14,31016574.0,1995
5,14,39109788.0,1996
5,14,35971208.0,1997
5,14,32285550.0,1998
5,14,35748356.0,1999
5,14,38512344.0,2000
5,14,36095848.0,2001
5,14,35509820.0,2002
5,14,38096952.0,2003
5,14,38731088.0,2004
5,14,37541192.0,2005
5,14,38168508.0,2006
5,14,39677308.0,2007
5,14,39714960.0,2008
5,14,39466856.0,2009
5,14,40334788.0,2010
5,14,41161732.0,2011
5,14,41217840.0,2012
5,14,41485884.0,2013
5,14,42261268.0,2014
5,14,42781812.0,2015
15,24,36193896.0,1990
15,24,35354196.0,1991
15,24,18824072.0,1992
15,24,40992164.0,1993
15,24,37767348.0,1994
15,24,29648522.0,1995
15,24,31011150.0,1996
15,24,39102948.0,1997
15,24,35964916.0,1998
15,24,32279904.0,1999
15,24,35742104.0,2000
15,24,38505608.0,2001
15,24,36089536.0,2002
15,24,35503612.0,2003
15,24,38090288.0,2004
15,24,38724316.0,2005
15,24,37534628.0,2006
15,24,38161832.0,2007
15,24,39670368.0,2008
15,24,39708016.0,2009
15,24,39459956.0,2010
15,24,40327736.0,2011
15,24,41154532.0,2012
15,24,41210632.0,2013
15,24,41478628.0,2014
15,24,42253876.0,2015
25,34,42574508.0,1990
25,34,36174844.0,1991
25,34,35335584.0,1992
25,34,18814162.0,1993
25,34,40970584.0,1994
25,34,37747468.0,1995
25,34,29632914.0,1996
25,34,30994824.0,1997
25,34,39082364.0,1998
25,34,35945984.0,1999
25,34,32262910.0,2000
25,34,35723288.0,2001
