Group,Population,Year
C,54247456.0,1990
C,51489864.5136,1991
C,48872450.5923,1992
C,46388089.18,1993
C,44030016.5224,1994
C,41791813.0504,1995
C,39667386.4172,1996
C,37650951.4999,1997
C,35737019.126,1998
C,33920378.7638,1999
C,32196084.7272,2000
C,30559442.6924,2001
C,29005997.0424,2002
C,27531518.7879,2003
C,26131993.4637,2004
C,24803610.5285,2005
C,23542754.0243,2006
C,22345991.835,2007
C,21210065.2409,2008
C,20131881.6898,2009
C,19108506.1837,2010
C,18137152.5249,2011
C,17215176.2247,2012
C,16340067.275,2013
C,15509443.2365,2014
C,14721042.7968,2015
W,162757344.0,1990
W,160554193.043,1991
W,158289025.888,1992
W,155969982.315,1993
W,153604646.581,1994
W,151200077.878,1995
W,148762840.081,1996
W,146299036.734,1997
W,143814330.508,1998
W,141313973.281,1999
W,138802829.916,2000
W,136285401.413,2001
W,133765846.52,2002
W,131248002.275,2003
W,128735404.604,2004
W,126231306.123,2005
W,123738691.6,2006
W,121260296.051,2007
W,118798622.308,2008
W,116355952.577,2009
W,113934362.608,2010
W,111535736.167,2011
W,109161776.411,2012
W,106814017.537,2013
W,104493835.878,2014
W,102202460.131,2015
R,31302924.0,1990
R,35050330.0252,1991
R,38725503.5547,1992
R,42327400.8969,1993
R,45855172.7196,1994
R,49308150.7106,1995
R,52685834.7932,1996
R,55987878.1387,1997
R,59214078.9777,1998
R,62364367.8328,1999
R,65438797.531,2000
R,68437533.5393,2001
R,71360845.0066,2002
R,74209096.2956,2003
R,76982738.4961,2004
R,79682302.2161,2005
R,82308391.4603,2006
R,84861676.2803,2007
R,87342885.6432,2008
R,89752803.1097,2009
R,92092261.2709,2010
R,94362136.0315,2011
R,96563342.3294,2012
R,98696829.7053,2013
R,100763578.129,2014
R,102764594.204,2015
