Group,Population,Year
C,61016784.0,2015
C,62812163.1046,2016
C,64543186.1561,2017
C,66212087.7398,2018
C,67821108.3833,2019
C,69372483.715,2020
C,70868432.3764,2021
C,72311149.7748,2022
C,73702799.2233,2023
C,75045506.328,2024
C,76341353.6807,2025
C,77592376.6321,2026
C,78800559.8673,2027
C,79967834.4945,2028
C,81096076.3861,2029
C,82187104.1837,2030
C,83242678.4338,2031
C,84264500.8898,2032
C,85254214.3174,2033
C,86213402.5274,2034
C,87143590.7013,2035
C,88046245.9792,2036
C,88922778.2223,2037
C,89774541.0631,2038
C,90602832.8324,2039
C,91408897.9324,2040
W,212641184.0,2015
W,211332712.582,2016
W,210132636.824,2017
W,209035852.952,2018
W,208037462.536,2019
W,207132769.124,2020
W,206317273.146,2021
W,205586667.53,2022
W,204936832.393,2023
W,204363829.766,2024
W,203863898.063,2025
W,203433446.498,2026
W,203069049.406,2027
W,202767440.547,2028
W,202525507.354,2029
W,202340285.318,2030
W,202208952.335,2031
W,202128823.159,2032
W,202097343.92,2033
W,202112086.769,2034
W,202170744.647,2035
W,202271126.15,2036
W,202411150.551,2037
W,202588842.929,2038
W,202802329.504,2039
W,203049833.054,2040
R,47760852.0,2015
R,48579052.9337,2016
R,49298268.0344,2017
R,49929411.9492,2018
R,50482352.484,2019
R,50965996.3349,2020
R,51388391.2958,2021
R,51756787.6627,2022
R,52077720.8827,2023
R,52357073.3172,2024
R,52600135.2813,2025
R,52811659.4611,2026
R,52995910.7073,2027
R,53156712.5861,2028
R,53297486.2592,2029
R,53421290.8038,2030
R,53530856.5248,2031
R,53628616.6622,2032
R,53716735.597,2033
R,53797134.9353,2034
R,53871517.175,2035
R,53941387.1721,2036
R,54008071.7507,2037
R,54072736.9477,2038
R,54136405.0057,2039
R,54199968.1723,2040
