,YEAR,AGELOW,AGEHIGH,POPPROJ,AGE GROUP,POPULATION
0,1990,0,4,19105401.98,<4,18887075
1,1990,5,14,35655714.56,14-May,35360381
2,1990,15,24,36273594.14,15-24,36193896
3,1990,25,34,37517004,25-34,42574509
4,1990,34,44,42121122.09,35-44,37649458
5,1990,45,54,26331567.35,45-54,25242747
6,1990,55,64,21152183.11,55-64,21096727
7,1990,65,74,17977862.93,65-74,18121686
8,1990,75,90,6789898.637,75+,13181238
9,1991,0,4,19410040.67,<4,19192292
10,1991,5,14,35886459.92,14-May,36002022
11,1991,15,24,35858969.68,15-24,35880630
12,1991,25,34,37088719.33,25-34,42557714
13,1991,34,44,43011886.18,35-44,38938407
14,1991,45,54,27239102.97,45-54,25868454
15,1991,55,64,21198024.71,55-64,21048125
16,1991,65,74,18029370.6,65-74,18286594
17,1991,75,90,8644134.717,75+,13508135
18,1992,0,4,19608031.05,<4,19513843
19,1992,5,14,36137219.17,14-May,36647011
20,1992,15,24,35529885.48,15-24,35811729
21,1992,25,34,36580581.88,25-34,42369718
22,1992,34,44,43778388.99,35-44,39691667
23,1992,45,54,28228616.08,45-54,27445813
24,1992,55,64,21285147.26,55-64,21001271
25,1992,65,74,18063999.28,65-74,18481066
26,1992,75,90,9992871.447,75+,13860739
27,1993,0,4,19687723.26,<4,19713737
28,1993,5,14,36416692.14,14-May,37329289
29,1993,15,24,35287080.6,15-24,35884548
30,1993,25,34,36013420.23,25-34,42087557
31,1993,34,44,44409791,35-44,40585063
32,1993,45,54,29283022.11,45-54,28819195
33,1993,55,64,21425746.4,55-64,21030610
34,1993,65,74,18084426.13,65-74,18683324
35,1993,75,90,10976439.08,75+,14204906
36,1994,0,4,19622186.14,<4,19767366
37,1994,5,14,36754050.86,14-May,37989983
38,1994,15,24,35127798.69,15-24,35981703
39,1994,25,34,35410478.72,25-34,41788610
40,1994,34,44,44897867.57,35-44,41501595
41,1994,45,54,30381854.45,45-54,30103228
42,1994,55,64,21632443.93,55-64,21153837
43,1994,65,74,18093114.08,65-74,18787611
44,1994,75,90,11695478.37,75+,14533714
45,1995,0,4,19426246.97,<4,19630427
46,1995,5,14,37143193.65,14-May,38608728
47,1995,15,24,35046503.35,15-24,36146224
48,1995,25,34,34795568.05,25-34,41518450
49,1995,34,44,45237717.35,35-44,42420629
50,1995,45,54,31502499.44,45-54,31431599
51,1995,55,64,21917218.68,55-64,21315839
52,1995,65,74,18092829.6,65-74,18862620
53,1995,75,90,12222394.04,75+,14897679
54,1996,0,4,19172192.98,<4,19420573
55,1996,5,14,37527796.51,14-May,39248397
56,1996,15,24,35035939.39,15-24,36317112
57,1996,25,34,34191062.82,25-34,41293169
58,1996,34,44,45428094.83,35-44,43271184
59,1996,45,54,32621970.88,45-54,32757713
60,1996,55,64,22289930.28,55-64,21582694
61,1996,65,74,18087106.52,65-74,18822298
62,1996,75,90,12609372.96,75+,15308274
63,1997,0,4,18933107.04,<4,19248766
64,1997,5,14,37852219.98,14-May,39827079
65,1997,15,24,35088005.56,15-24,36814855
66,1997,25,34,33616559.98,25-34,40870813
67,1997,34,44,45471367.2,35-44,43936756
68,1997,45,54,33718354.11,45-54,34091693
69,1997,55,64,22757165.77,55-64,22110178
70,1997,65,74,18080534.69,65-74,18696642
71,1997,75,90,12894057.74,75+,15708004
72,1998,0,4,18752421.02,<4,19152847
73,1998,5,14,38089560.58,14-May,40315937
74,1998,15,24,35194231.73,15-24,37503085
75,1998,25,34,33088258.55,25-34,40311010
76,1998,34,44,45373400.49,35-44,44453123
77,1998,45,54,34771539.64,45-54,35193512
78,1998,55,64,23321702,55-64,22993311
79,1998,65,74,18078856.35,65-74,18573856
80,1998,75,90,13103598.98,75+,16042350
81,1999,0,4,18640527.81,<4,19138616
82,1999,5,14,38236438.42,14-May,40785925
83,1999,15,24,35346203.78,15-24,38178346
84,1999,25,34,32618775.69,25-34,39771289
85,1999,34,44,45143574.01,35-44,44789896
86,1999,45,54,35763592.47,45-54,36507326
87,1999,55,64,23982110.67,55-64,23768818
88,1999,65,74,18088112.06,65-74,18429629
89,1999,75,90,13256955.6,75+,16370196
90,2000,0,4,18585533.1,<4,19177223.5
