,YEAR,AGELOW,AGEHIGH,POPPROJ
0,2015,0,4,20382033.4
1,2015,5,14,41010370.77
2,2015,15,24,43597323.98
3,2015,25,34,39725326.75
4,2015,34,44,45308500.87
5,2015,45,54,42701582.09
6,2015,55,64,40632516.27
7,2015,65,74,28200402.74
8,2015,75,90,19175068.48
9,2016,0,4,20899286.16
10,2016,5,14,40776283.66
11,2016,15,24,43328175.47
12,2016,25,34,39825493.54
13,2016,34,44,45427062.46
14,2016,45,54,42290131.46
15,2016,55,64,40912351.47
16,2016,65,74,29063799.44
17,2016,75,90,18505112.07
18,2017,0,4,21366623.53
19,2017,5,14,40563610.55
20,2017,15,24,43047881.74
21,2017,25,34,39871445.61
22,2017,34,44,45614505.14
23,2017,45,54,41872085.34
24,2017,55,64,41090043.04
25,2017,65,74,29912717.98
26,2017,75,90,18171970.77
27,2018,0,4,21744899.06
28,2018,5,14,40412274.05
29,2018,15,24,42760706.44
30,2018,25,34,39865050.42
31,2018,34,44,45856616.14
32,2018,45,54,41462518.04
33,2018,55,64,41170970.72
34,2018,65,74,30731904.59
35,2018,75,90,18089690.4
36,2019,0,4,21946182.12
37,2019,5,14,40413518.17
38,2019,15,24,42470479.21
39,2019,25,34,39810374.87
40,2019,34,44,46136108.79
41,2019,45,54,41077291.3
42,2019,55,64,41162180.84
43,2019,65,74,31506833.67
44,2019,75,90,18196447.15
45,2020,0,4,21943639.55
46,2020,5,14,40603490.8
47,2020,15,24,42180640.12
48,2020,25,34,39712721.26
49,2020,34,44,46434337.02
50,2020,45,54,40732058.69
51,2020,55,64,41071978.47
52,2020,65,74,32224308.67
53,2020,75,90,18446838.18
54,2021,0,4,21819693.14
55,2021,5,14,40916309.9
56,2021,15,24,41894316.98
57,2021,25,34,39577781.57
58,2021,34,44,46733242.6
59,2021,45,54,40440752.16
60,2021,55,64,40909538.26
61,2021,65,74,32873164.03
62,2021,75,90,18806619.29
63,2022,0,4,21675558.71
64,2022,5,14,41267937.12
65,2022,15,24,41614390.54
66,2022,25,34,39411182.24
67,2022,34,44,47016701.83
68,2022,45,54,40214342.36
69,2022,55,64,40684664.14
70,2022,65,74,33444733.56
71,2022,75,90,19249114.27
72,2023,0,4,21573451.4
73,2023,5,14,41611191.58
74,2023,15,24,41343585.96
75,2023,25,34,39218302.21
76,2023,34,44,47271154.17
77,2023,45,54,40060204.41
78,2023,55,64,40407721.2
79,2023,65,74,33932986.49
80,2023,75,90,19752767.97
81,2024,0,4,21530200.65
82,2024,5,14,41931574.39
83,2024,15,24,41085032.8
84,2024,25,34,39004237.23
85,2024,34,44,47485894.34
86,2024,45,54,39982044.1
87,2024,55,64,40089173.72
88,2024,65,74,34332876.27
89,2024,75,90,20298534.7
90,2025,0,4,21533598.66
91,2025,5,14,42229361.08
92,2025,15,24,40844170.51
93,2025,25,34,38773504.97
94,2025,34,44,47652348.64
95,2025,45,54,39978339.51
96,2025,55,64,39744437
97,2025,65,74,34655348.28
98,2025,75,90,20877354.25
99,2026,0,4,21538447.86
100,2026,5,14,42505051.71
101,2026,15,24,40633901.36
102,2026,25,34,38530074.32
103,2026,34,44,47765069.26
104,2026,45,54,40044821.26
105,2026,55,64,39388245.31
106,2026,65,74,34908432.83
107,2026,75,90,21481956
108,2027,0,4,21542456.04
109,2027,5,14,42749523.7
110,2027,15,24,40478118.43
