YEAR,AGE LOWER,AGE UPPER,POPULATION
1990,0,4,18887075
1990,5,14,35360381
1990,15,24,36193896
1990,25,34,42574509
1990,35,44,37649458
1990,45,54,25242747
1990,55,64,21096727
1990,65,74,18121686
1990,75,100,13181238
1991,0,4,19192292
1991,5,14,36002022
1991,15,24,35880630
1991,25,34,42557714
1991,35,44,38938407
1991,45,54,25868454
1991,55,64,21048125
1991,65,74,18286594
1991,75,100,13508135
1992,0,4,19513843
1992,5,14,36647011
1992,15,24,35811729
1992,25,34,42369718
1992,35,44,39691667
1992,45,54,27445813
1992,55,64,21001271
1992,65,74,18481066
1992,75,100,13860739
1993,0,4,19713737
1993,5,14,37329289
1993,15,24,35884548
1993,25,34,42087557
1993,35,44,40585063
1993,45,54,28819195
1993,55,64,21030610
1993,65,74,18683324
1993,75,100,14204906
1994,0,4,19767366
1994,5,14,37989983
1994,15,24,35981703
1994,25,34,41788610
1994,35,44,41501595
1994,45,54,30103228
1994,55,64,21153837
1994,65,74,18787611
1994,75,100,14533714
1995,0,4,19630427
1995,5,14,38608728
1995,15,24,36146224
1995,25,34,41518450
1995,35,44,42420629
1995,45,54,31431599
1995,55,64,21315839
1995,65,74,18862620
1995,75,100,14897679
1996,0,4,19420573
1996,5,14,39248397
1996,15,24,36317112
1996,25,34,41293169
1996,35,44,43271184
1996,45,54,32757713
1996,55,64,21582694
1996,65,74,18822298
1996,75,100,15308274
1997,0,4,19248766
1997,5,14,39827079
1997,15,24,36814855
1997,25,34,40870813
1997,35,44,43936756
1997,45,54,34091693
1997,55,64,22110178
1997,65,74,18696642
1997,75,100,15708004
1998,0,4,19152847
1998,5,14,40315937
1998,15,24,37503085
1998,25,34,40311010
1998,35,44,44453123
1998,45,54,35193512
1998,55,64,22993311
1998,65,74,18573856
1998,75,100,16042350
1999,0,4,19138616
1999,5,14,40785925
1999,15,24,38178346
1999,25,34,39771289
1999,35,44,44789896
1999,45,54,36507326
1999,55,64,23768818
1999,65,74,18429629
1999,75,100,16370196
2000,0,4,19177223.5
2000,5,14,41089914
2000,15,24,39296684
2000,25,34,39848678
2000,35,44,45159337.5
2000,45,54,37838754.5
2000,55,64,24352033
2000,65,74,18387560.5
2000,75,100,16643320.5
2001,0,4,19298217
2001,5,14,41152040
2001,15,24,40213570
2001,25,34,39471522
2001,35,44,45051752
2001,45,54,39386268
2001,55,64,25105295
2001,65,74,18384179
2001,75,100,16906112
2002,0,4,19429192
2002,5,14,41133838
2002,15,24,40854135
2002,25,34,39349646
2002,35,44,44640649
2002,45,54,39992194
2002,55,64,26703332
2002,65,74,18388535
2002,75,100,17133672
2003,0,4,19592446
2003,5,14,41036204
2003,15,24,41388854
2003,25,34,39243795
2003,35,44,44154206
2003,45,54,40819954
2003,55,64,28008945
2003,65,74,18500915
2003,75,100,17362614
2004,0,4,19785885
2004,5,14,40865917
2004,15,24,41948112
2004,25,34,39266556
2004,35,44,43800275
2004,45,54,41629930
2004,55,64,29305304
2004,65,74,18667533
2004,75,100,17535786
2005,0,4,19917400
2005,5,14,40601646
2005,15,24,42446169
2005,25,34,39258647
2005,35,44,43505538
2005,45,54,42495904
2005,55,64,30641497
2005,65,74,18881697
2005,75,100,17768101
2006,0,4,19938883
2006,5,14,40577826
2006,15,24,42843844
2006,25,34,39395179
2006,35,44,43243801
2006,45,54,43286159
2006,55,64,31930113
2006,65,74,19203027
2006,75,100,17961080
2007,0,4,20125962
2007,5,14,40555653
2007,15,24,43145815
2007,25,34,39713463
2007,35,44,42796230
2007,45,54,43939939
2007,55,64,33128434
2007,65,74,19698727
2007,75,100,18126984
2008,0,4,20271127
2008,5,14,40636257
2008,15,24,43391492
2008,25,34,40207473
2008,35,44,42192486
2008,45,54,44460447
2008,55,64,34157063
2008,65,74,20505679
2008,75,100,18271942
2009,0,4,20244518
2009,5,14,40843063
2009,15,24,43576932
2009,25,34,40723342
2009,35,44,41487811
2009,45,54,44867088
2009,55,64,35405600
2009,65,74,21233099
2009,75,100,18390076
2010,0,4,20200945.5
2010,5,14,41051135.5
2010,15,24,43626683.5
2010,25,34,41155511.5
2010,35,44,41026015.5
2010,45,54,45009982.5
2010,55,64,36624557
2010,65,74,21777400.5
2010,75,100,18575382
2011,0,4,20125967
2011,5,14,41049762
2011,15,24,43835815
2011,25,34,41819155
2011,35,44,40671719
2011,45,54,44760623
2011,55,64,38089851
2011,65,74,22495505
2011,75,100,18870460
2012,0,4,19980580
2012,5,14,41143020
2012,15,24,43980135
2012,25,34,42328649
2012,35,44,40576051
2012,45,54,44317574
2012,55,64,38615342
2012,65,74,24009505
2012,75,100,19151767
2013,0,4,19853916
2013,5,14,41231973
2013,15,24,44034570
2013,25,34,42898916
2013,35,44,40542105
2013,45,54,43844480
2013,55,64,39342253
2013,65,74,25220955
2013,75,100,19458227
2014,0,4,19872010
2014,5,14,41207303
2014,15,24,44003825
2014,25,34,43547161
2014,35,44,40534422
2014,45,54,43464825
2014,55,64,40076125
2014,65,74,26392080
2014,75,100,19809650
2015,0,4,19907281
2015,5,14,41109506
2015,15,24,43848216
2015,25,34,44137202
2015,35,44,40589783
2015,45,54,43188161
2015,55,64,40877819
2015,65,74,27550517
2015,75,100,20210335
