YEAR,AGE GROUP,POPULATION,BIRTH RATE,DEATH RATE,,,,,
1990,<4,3778000,0,0.0031615,,,,,
1990,5-14,3536000,#REF!,0.000174909,,,,,
1990,15-24,3619000,#REF!,0.0005264,,,,,
1990,25-34,4258000,#REF!,0.0010336,,,,,
1990,35-44,3766000,#REF!,0.0022962,,,,,
1990,45-54,2523000,#REF!,0.0053825,,,,,
1990,55-64,2110000,0,0.0109758,,,,,
1990,65-74,1811000,0,0.0226072,,,,,
1990,75+,936454.5455,0,0.149376615,,,,,
1991,<4,3838000,0,0.0031615,,,,,
1991,5-14,3600000,0.001,0.000174909,,,,,
1991,15-24,3589000,0.089,0.0005264,,,,,
1991,25-34,4256000,0.098,0.0010336,,,,,
1991,35-44,3895000,0.019,0.0022962,,,,,
1991,45-54,2587000,0.0002,0.0053825,,,,,
1991,55-64,2105000,0,0.0109758,,,,,
1991,65-74,1830000,0,0.0226072,,,,,
1991,75+,957545.4545,0,0.149376615,,,,,
1992,<4,3902000,0,0.0031615,,,,,
1992,5-14,3665000,0.0014,0.000174909,,,,,
1992,15-24,3581000,0.087,0.0005264,,,,,
1992,25-34,4237000,0.09765,0.0010336,,,,,
1992,35-44,3970000,0.0191,0.0022962,,,,,
1992,45-54,2746000,0.0003,0.0053825,,,,,
1992,55-64,2100000,0,0.0109758,,,,,
1992,65-74,1849000,0,0.0226072,,,,,
1992,75+,977090.9091,0,0.149376615,,,,,
1993,<4,3944000,0,0.0031615,,,,,
1993,5-14,3732000,0.0014,0.000174909,,,,,
1993,15-24,3589000,0.08515,0.0005264,,,,,
1993,25-34,4210000,0.09655,0.0010336,,,,,
1993,35-44,4058000,0.0194,0.0022962,,,,,
1993,45-54,2882000,0.0003,0.0053825,,,,,
1993,55-64,2102000,0,0.0109758,,,,,
1993,65-74,1869000,0,0.0226072,,,,,
1993,75+,998090.9091,0,0.149376615,,,,,
1994,<4,3952000,0,0.0031615,,,,,
1994,5-14,3800000,0.0014,0.000174909,,,,,
1994,15-24,3597000,0.0837,0.0005264,,,,,
1994,25-34,4178000,0.0957,0.0010336,,,,,
1994,35-44,4150000,0.0199,0.0022962,,,,,
1994,45-54,3012000,0.0003,0.0053825,,,,,
