YEAR,AGE GROUP,POPULATION,BIRTH RATE,DEATH RATE,,,,,
1990,<4,18887075,0,0.0031615,,,,,
1990,5-14,35360381,0.0014,0.000174909,,,,,
1990,15-24,36193896,0.0882,0.0005264,,,,,
1990,25-34,42574509,0.1005,0.0010336,,,,,
1990,35-44,37649458,0.0186,0.0022962,,,,,
1990,45-54,25242747,0.0002,0.0053825,,,,,
1990,55-64,21096727,0,0.0109758,,,,,
1990,65-74,18121686,0,0.0226072,,,,,
1990,75+,13181238,0,0.149376615,,,,,
1991,<4,19192292,0,0.0031615,,,,,
1991,5-14,36002022,0.001,0.000174909,,,,,
1991,15-24,35880630,0.089,0.0005264,,,,,
1991,25-34,42557714,0.098,0.0010336,,,,,
1991,35-44,38938407,0.019,0.0022962,,,,,
1991,45-54,25868454,0.0002,0.0053825,,,,,
1991,55-64,21048125,0,0.0109758,,,,,
1991,65-74,18286594,0,0.0226072,,,,,
1991,75+,13508135,0,0.149376615,,,,,
1992,<4,19513843,0,0.0031615,,,,,
1992,5-14,36647011,0.0014,0.000174909,,,,,
1992,15-24,35811729,0.087,0.0005264,,,,,
1992,25-34,42369718,0.09765,0.0010336,,,,,
1992,35-44,39691667,0.0191,0.0022962,,,,,
1992,45-54,27445813,0.0003,0.0053825,,,,,
1992,55-64,21001271,0,0.0109758,,,,,
1992,65-74,18481066,0,0.0226072,,,,,
1992,75+,13860739,0,0.149376615,,,,,
1993,<4,19713737,0,0.0031615,,,,,
1993,5-14,37329289,0.0014,0.000174909,,,,,
1993,15-24,35884548,0.08515,0.0005264,,,,,
1993,25-34,42087557,0.09655,0.0010336,,,,,
1993,35-44,40585063,0.0194,0.0022962,,,,,
1993,45-54,28819195,0.0003,0.0053825,,,,,
1993,55-64,21030610,0,0.0109758,,,,,
1993,65-74,18683324,0,0.0226072,,,,,
1993,75+,14204906,0,0.149376615,,,,,
1994,<4,19767366,0,0.0031615,,,,,
1994,5-14,37989983,0.0014,0.000174909,,,,,
1994,15-24,35981703,0.0837,0.0005264,,,,,
1994,25-34,41788610,0.0957,0.0010336,,,,,
1994,35-44,41501595,0.0199,0.0022962,,,,,
1994,45-54,30103228,0.0003,0.0053825,,,,,
1994,55-64,21153837,0,0.0109758,,,,,
1994,65-74,18787611,0,0.0226072,,,,,
1994,75+,14533714,0,0.149376615,,,,,
1995,<4,19630427,0,0.0031615,,,,,
1995,5-14,38608728,0.0013,0.000174909,,,,,
1995,15-24,36146224,0.08175,0.0005264,,,,,
1995,25-34,41518450,0.09495,0.0010336,,,,,
1995,35-44,42420629,0.0203,0.0022962,,,,,
1995,45-54,31431599,0.0003,0.0053825,,,,,
1995,55-64,21315839,0,0.0109758,,,,,
1995,65-74,18862620,0,0.0226072,,,,,
1995,75+,14897679,0,0.149376615,,,,,
1996,<4,19420573,0,0.0031615,,,,,
1996,5-14,39248397,0.0012,0.000174909,,,,,
1996,15-24,36317112,0.08065,0.0005264,,,,,
1996,25-34,41293169,0.09535,0.0010336,,,,,
1996,35-44,43271184,0.02085,0.0022962,,,,,
1996,45-54,32757713,0.0003,0.0053825,,,,,
1996,55-64,21582694,0,0.0109758,,,,,
1996,65-74,18822298,0,0.0226072,,,,,
1996,75+,15308274,0,0.149376615,,,,,
1997,<4,19248766,0,0.0031615,,,,,
1997,5-14,39827079,0.0011,0.000174909,,,,,
1997,15-24,36814855,0.0793,0.0005264,,,,,
1997,25-34,40870813,0.09565,0.0010336,,,,,
1997,35-44,43936756,0.0214,0.0022962,,,,,
1997,45-54,34091693,0.0004,0.0053825,,,,,
1997,55-64,22110178,0,0.0109758,,,,,
1997,65-74,18696642,0,0.0226072,,,,,
1997,75+,15708004,0,0.149376615,,,,,
1998,<4,19152847,0,0.0031615,,,,,
1998,5-14,40315937,0.001,0.000174909,,,,,
1998,15-24,37503085,0.07935,0.0005264,,,,,
1998,25-34,40311010,0.0977,0.0010336,,,,,
1998,35-44,44453123,0.02215,0.0022962,,,,,
1998,45-54,35193512,0.0004,0.0053825,,,,,
1998,55-64,22993311,0,0.0109758,,,,,
1998,65-74,18573856,0,0.0226072,,,,,
1998,75+,16042350,0,0.149376615,,,,,
1999,<4,19138616,0,0.0031615,,,,,
1999,5-14,40785925,0.0009,0.000174909,,,,,
1999,15-24,38178346,0.07835,0.0005264,,,,,
1999,25-34,39771289,0.09915,0.0010336,,,,,
1999,35-44,44789896,0.0226,0.0022962,,,,,
1999,45-54,36507326,0.0004,0.0053825,,,,,
1999,55-64,23768818,0,0.0109758,,,,,
1999,65-74,18429629,0,0.0226072,,,,,
1999,75+,16370196,0,0.149376615,,,,,
2000,<4,19177223.5,0,0.0031615,,,,,
2000,5-14,41089914,0.0009,0.000174909,,,,,
2000,15-24,39296684,0.0787,0.0005264,,,,,
2000,25-34,39848678,0.10235,0.0010336,,,,,
2000,35-44,45159337.5,0.02385,0.0022962,,,,,
2000,45-54,37838754.5,0.0005,0.0053825,,,,,
2000,55-64,24352033,0,0.0109758,,,,,
2000,65-74,18387560.5,0,0.0226072,,,,,
2000,75+,16643320.5,0,0.149376615,,,,,
2001,<4,19298217,0,0.0031615,,,,,
2001,5-14,41152040,0.0008,0.000174909,,,,,
2001,15-24,40213570,0.0753,0.0005264,,,,,
2001,25-34,39471522,0.1028,0.0010336,,,,,
2001,35-44,45051752,0.0243,0.0022962,,,,,
2001,45-54,39386268,0.0005,0.0053825,,,,,
2001,55-64,25105295,0,0.0109758,,,,,
2001,65-74,18384179,0,0.0226072,,,,,
2001,75+,16906112,0,0.149376615,,,,,
2002,<4,19429192,0,0.0031615,,,,,
2002,5-14,41133838,0.0007,0.000174909,,,,,
2002,15-24,40854135,0.07285,0.0005264,,,,,
2002,25-34,39349646,0.10365,0.0010336,,,,,
2002,35-44,44640649,0.02495,0.0022962,,,,,
2002,45-54,39992194,0.0005,0.0053825,,,,,
2002,55-64,26703332,0,0.0109758,,,,,
2002,65-74,18388535,0,0.0226072,,,,,
2002,75+,17133672,0,0.149376615,,,,,
2003,<4,19592446,0,0.0031615,,,,,
2003,5-14,41036204,0.0006,0.000174909,,,,,
2003,15-24,41388854,0.0717,0.0005264,,,,,
2003,25-34,39243795,0.1062,0.0010336,,,,,
2003,35-44,44154206,0.026,0.0022962,,,,,
2003,45-54,40819954,0.0005,0.0053825,,,,,
2003,55-64,28008945,0,0.0109758,,,,,
2003,65-74,18500915,0,0.0226072,,,,,
2003,75+,17362614,0,0.149376615,,,,,
2004,<4,19785885,0,0.0031615,,,,,
2004,5-14,40865917,0.0006,0.000174909,,,,,
2004,15-24,41948112,0.071,0.0005264,,,,,
2004,25-34,39266556,0.10635,0.0010336,,,,,
2004,35-44,43800275,0.0272,0.0022962,,,,,
2004,45-54,41629930,0.0005,0.0053825,,,,,
2004,55-64,29305304,0,0.0109758,,,,,
2004,65-74,18667533,0,0.0226072,,,,,
2004,75+,17535786,0,0.149376615,,,,,
2005,<4,19917400,0,0.0031615,,,,,
2005,5-14,40601646,0.0006,0.000174909,,,,,
2005,15-24,42446169,0.07075,0.0005264,,,,,
2005,25-34,39258647,0.1066,0.0010336,,,,,
2005,35-44,43505538,0.02775,0.0022962,,,,,
2005,45-54,42495904,0.0006,0.0053825,,,,,
2005,55-64,30641497,0,0.0109758,,,,,
2005,65-74,18881697,0,0.0226072,,,,,
2005,75+,17768101,0,0.149376615,,,,,
2006,<4,19938883,0,0.0031615,,,,,
2006,5-14,40577826,0.0006,0.000174909,,,,,
2006,15-24,42843844,0.0733,0.0005264,,,,,
2006,25-34,39395179,0.10845,0.0010336,,,,,
2006,35-44,43243801,0.02845,0.0022962,,,,,
2006,45-54,43286159,0.0006,0.0053825,,,,,
2006,55-64,31930113,0,0.0109758,,,,,
2006,65-74,19203027,0,0.0226072,,,,,
2006,75+,17961080,0,0.149376615,,,,,
2007,<4,20125962,0,0.0031615,,,,,
2007,5-14,40555653,0.0006,0.000174909,,,,,
2007,15-24,43145815,0.07345,0.0005264,,,,,
2007,25-34,39713463,0.10935,0.0010336,,,,,
2007,35-44,42796230,0.0286,0.0022962,,,,,
2007,45-54,43939939,0.0006,0.0053825,,,,,
2007,55-64,33128434,0,0.0109758,,,,,
2007,65-74,19698727,0,0.0226072,,,,,
2007,75+,18126984,0,0.149376615,,,,,
2008,<4,20271127,0,0.0031615,,,,,
2008,5-14,40636257,0.0006,0.000174909,,,,,
2008,15-24,43391492,0.071,0.0005264,,,,,
2008,25-34,40207473,0.1072,0.0010336,,,,,
2008,35-44,42192486,0.02835,0.0022962,,,,,
2008,45-54,44460447,0.0007,0.0053825,,,,,
2008,55-64,34157063,0,0.0109758,,,,,
2008,65-74,20505679,0,0.0226072,,,,,
2008,75+,18271942,0,0.149376615,,,,,
2009,<4,20244518,0,0.0031615,,,,,
2009,5-14,40843063,0.0005,0.000174909,,,,,
2009,15-24,43576932,0.06705,0.0005264,,,,,
2009,25-34,40723342,0.1045,0.0010336,,,,,
2009,35-44,41487811,0.02805,0.0022962,,,,,
2009,45-54,44867088,0.0007,0.0053825,,,,,
2009,55-64,35405600,0,0.0109758,,,,,
2009,65-74,21233099,0,0.0226072,,,,,
2009,75+,18390076,0,0.149376615,,,,,
2010,<4,20200945.5,0,0.0031615,,,,,
2010,5-14,41051135.5,0.0004,0.000174909,,,,,
2010,15-24,43626683.5,0.0621,0.0005264,,,,,
2010,25-34,41155511.5,0.1024,0.0010336,,,,,
2010,35-44,41026015.5,0.02875,0.0022962,,,,,
2010,45-54,45009982.5,0.0007,0.0053825,,,,,
2010,55-64,36624557,0,0.0109758,,,,,
2010,65-74,21777400.5,0,0.0226072,,,,,
2010,75+,18575382,0,0.149376615,,,,,
2011,<4,20125967,0,0.0031615,,,,,
2011,5-14,41049762,0.0004,0.000174909,,,,,
2011,15-24,43835815,0.0583,0.0005264,,,,,
2011,25-34,41819155,0.10185,0.0010336,,,,,
2011,35-44,40671719,0.02875,0.0022962,,,,,
2011,45-54,44760623,0.0007,0.0053825,,,,,
2011,55-64,38089851,0,0.0109758,,,,,
2011,65-74,22495505,0,0.0226072,,,,,
2011,75+,18870460,0,0.149376615,,,,,
2012,<4,19980580,0,0.0031615,,,,,
2012,5-14,41143020,0.0004,0.000174909,,,,,
2012,15-24,43980135,0.05625,0.0005264,,,,,
2012,25-34,42328649,0.1019,0.0010336,,,,,
2012,35-44,40576051,0.02935,0.0022962,,,,,
2012,45-54,44317574,0.0007,0.0053825,,,,,
2012,55-64,38615342,0,0.0109758,,,,,
2012,65-74,24009505,0,0.0226072,,,,,
2012,75+,19151767,0,0.149376615,,,,,
2013,<4,19853916,0,0.0031615,,,,,
2013,5-14,41231973,0.0003,0.000174909,,,,,
2013,15-24,44034570,0.0536,0.0005264,,,,,
2013,25-34,42898916,0.10175,0.0010336,,,,,
2013,35-44,40542105,0.02985,0.0022962,,,,,
2013,45-54,43844480,0.0008,0.0053825,,,,,
2013,55-64,39342253,0,0.0109758,,,,,
2013,65-74,25220955,0,0.0226072,,,,,
2013,75+,19458227,0,0.149376615,,,,,
2014,<4,19872010,0,0.0031615,,,,,
2014,5-14,41207303,0.0003,0.000174909,,,,,
2014,15-24,44003825,0.0516,0.0005264,,,,,
2014,25-34,43547161,0.1033,0.0010336,,,,,
2014,35-44,40534422,0.0308,0.0022962,,,,,
2014,45-54,43464825,0.0008,0.0053825,,,,,
2014,55-64,40076125,0,0.0109758,,,,,
2014,65-74,26392080,0,0.0226072,,,,,
2014,75+,19809650,0,0.149376615,,,,,
2015,<4,19907281,0,0.0031615,,,,,
2015,5-14,41109506,0.0002,0.000174909,,,,,
2015,15-24,43848216,0.0496,0.0005264,,,,,
2015,25-34,44137202,0.10285,0.0010336,,,,,
2015,35-44,40589783,0.03135,0.0022962,,,,,
2015,45-54,43188161,0.0008,0.0053825,,,,,
2015,55-64,40877819,0,0.0109758,,,,,
2015,65-74,27550517,0,0.0226072,,,,,
2015,75+,20210335,0,0.149376615,,,,,
