YEAR,AGE GROUP,POPULATION,BIRTH RATE,DEATH RATE,,,,
1990,<4,18887075,0,0.002022242,,,,
1990,5-14,35360381,0.0014,0.000218925,,,,
1990,15-24,36193896,0.0882,0.000938029,,,,
1990,25-34,42574509,0.1005,0.000994372,,,,
1990,35-44,37649458,0.0186,0.002244246,,,,
1990,45-54,25242747,0.0002,0.004477059,,,,
1990,55-64,21096727,0,0.010511566,,,,
1990,65-74,18121686,0,0.028017333,,,,
1990,75+,13181238,0,0.086754832,,,,
1991,<4,19192292,0,0.0019956,,,,
1991,5-14,36002022,0.001,0.000214933,,,,
1991,15-24,35880630,0.089,0.000926712,,,,
1991,25-34,42557714,0.098,0.000998176,,,,
1991,35-44,38938407,0.019,0.002222145,,,,
1991,45-54,25868454,0.0002,0.004459926,,,,
1991,55-64,21048125,0,0.010422314,,,,
1991,65-74,18286594,0,0.027571673,,,,
1991,75+,13508135,0,0.086183032,,,,
1992,<4,19513843,0,0.001968958,,,,
1992,5-14,36647011,0.0014,0.00021094,,,,
1992,15-24,35811729,0.087,0.000915394,,,,
1992,25-34,42369718,0.09765,0.001001981,,,,
1992,35-44,39691667,0.0191,0.002200044,,,,
1992,45-54,27445813,0.0003,0.004442793,,,,
1992,55-64,21001271,0,0.010333062,,,,
1992,65-74,18481066,0,0.027126013,,,,
1992,75+,13860739,0,0.085611232,,,,
1993,<4,19713737,0,0.001942316,,,,
1993,5-14,37329289,0.0014,0.000206948,,,,
1993,15-24,35884548,0.08515,0.000904076,,,,
1993,25-34,42087557,0.09655,0.001005786,,,,
1993,35-44,40585063,0.0194,0.002177943,,,,
1993,45-54,28819195,0.0003,0.00442566,,,,
1993,55-64,21030610,0,0.010243809,,,,
1993,65-74,18683324,0,0.026680353,,,,
1993,75+,14204906,0,0.085039432,,,,
1994,<4,19767366,0,0.001915673,,,,
1994,5-14,37989983,0.0014,0.000202955,,,,
1994,15-24,35981703,0.0837,0.000892758,,,,
1994,25-34,41788610,0.0957,0.00100959,,,,
1994,35-44,41501595,0.0199,0.002155842,,,,
1994,45-54,30103228,0.0003,0.004408527,,,,
1994,55-64,21153837,0,0.010154557,,,,
1994,65-74,18787611,0,0.026234693,,,,
1994,75+,14533714,0,0.084467631,,,,
1995,<4,19630427,0,0.001889031,,,,
1995,5-14,38608728,0.0013,0.000198962,,,,
1995,15-24,36146224,0.08175,0.000881441,,,,
1995,25-34,41518450,0.09495,0.001013395,,,,
1995,35-44,42420629,0.0203,0.002133741,,,,
1995,45-54,31431599,0.0003,0.004391393,,,,
1995,55-64,21315839,0,0.010065305,,,,
1995,65-74,18862620,0,0.025789033,,,,
1995,75+,14897679,0,0.083895831,,,,
1996,<4,19420573,0,0.001862389,,,,
1996,5-14,39248397,0.0012,0.00019497,,,,
1996,15-24,36317112,0.08065,0.000870123,,,,
1996,25-34,41293169,0.09535,0.0010172,,,,
1996,35-44,43271184,0.02085,0.00211164,,,,
1996,45-54,32757713,0.0003,0.00437426,,,,
1996,55-64,21582694,0,0.009976052,,,,
1996,65-74,18822298,0,0.025343374,,,,
1996,75+,15308274,0,0.083324031,,,,
1997,<4,19248766,0,0.001835746,,,,
1997,5-14,39827079,0.0011,0.000190977,,,,
1997,15-24,36814855,0.0793,0.000858805,,,,
1997,25-34,40870813,0.09565,0.001021004,,,,
1997,35-44,43936756,0.0214,0.002089539,,,,
1997,45-54,34091693,0.0004,0.004357127,,,,
1997,55-64,22110178,0,0.0098868,,,,
1997,65-74,18696642,0,0.024897714,,,,
1997,75+,15708004,0,0.082752231,,,,
1998,<4,19152847,0,0.001809104,,,,
1998,5-14,40315937,0.001,0.000186985,,,,
1998,15-24,37503085,0.07935,0.000847487,,,,
1998,25-34,40311010,0.0977,0.001024809,,,,
1998,35-44,44453123,0.02215,0.002067438,,,,
1998,45-54,35193512,0.0004,0.004339994,,,,
1998,55-64,22993311,0,0.009797548,,,,
1998,65-74,18573856,0,0.024452054,,,,
1998,75+,16042350,0,0.082180431,,,,
1999,<4,19138616,0,0.00173426,,,,
1999,5-14,40785925,0.0009,0.000186062,,,,
1999,15-24,38178346,0.07835,0.000792636,,,,
1999,25-34,39771289,0.09915,0.001022091,,,,
1999,35-44,44789896,0.0226,0.001980093,,,,
1999,45-54,36507326,0.0004,0.004182152,,,,
1999,55-64,23768818,0,0.010050414,,,,
1999,65-74,18429629,0,0.024572574,,,,
1999,75+,16370196,0,0.082101263,,,,
2000,<4,19177223.5,0,0.001721649,,,,
2000,5-14,41089914,0.0009,0.000180463,,,,
2000,15-24,39296684,0.0787,0.000798976,,,,
2000,25-34,39848678,0.10235,0.00101402,,,,
2000,35-44,45159337.5,0.02385,0.001988946,,,,
2000,45-54,37838754.5,0.0005,0.004255566,,,,
2000,55-64,24352033,0,0.009921695,,,,
2000,65-74,18387560.5,0,0.023990503,,,,
2000,75+,16643320.5,0,0.081840556,,,,
2001,<4,19298217,0,0.001693162,,,,
2001,5-14,41152040,0.0008,0.000172409,,,,
2001,15-24,40213570,0.0753,0.000802018,,,,
2001,25-34,39471522,0.1028,0.001056027,,,,
2001,35-44,45051752,0.0243,0.00203486,,,,
