AgeGroup,DeathRate,Deaths,Population,Year
0-4,0.00173425955384,33186,19135544,1999.0
0-4,0.00172164934153,33014,19175798,2000.0
0-4,0.00169316160141,32675,19298217,2001.0
0-4,0.00169291651449,32892,19429192,2002.0
0-4,0.00168381222028,32990,19592446,2003.0
0-4,0.00165375468421,32721,19785885,2004.0
0-4,0.00166668340245,33196,19917400,2005.0
0-4,0.001662981823,33158,19938883,2006.0
0-4,0.00168145999679,33841,20125962,2007.0
0-4,0.00161752230155,32789,20271127,2008.0
0-4,0.00152446207907,30862,20244518,2009.0
0-4,0.00143069561349,28902,20201362,2010.0
0-4,0.0014002042847,28231,20162058,2011.0
0-4,0.00139239567058,27847,19999344,2012.0
0-4,0.00138453181806,27508,19868088,2013.0
0-4,0.00136062580838,27045,19876883,2014.0
0-4,0.00137738549026,27420,19907281,2015.0
5-14 years,0.000186,7595,40819824,1999.0
5-14 years,0.00018,7413,41077577,2000.0
5-14 years,0.000172,7095,41152040,2001.0
5-14 years,0.000174,7150,41133838,2002.0
5-14 years,0.000169,6954,41036204,2003.0
5-14 years,0.000167,6834,40865917,2004.0
5-14 years,0.000163,6602,40601646,2005.0
5-14 years,0.000152,6149,40577826,2006.0
5-14 years,0.000152,6147,40555653,2007.0
5-14 years,0.000139,5651,40636257,2008.0
5-14 years,0.000138,5651,40843063,2009.0
5-14 years,0.000129,5279,41025851,2010.0
5-14 years,0.000132,5401,41039048,2011.0
5-14 years,0.000126,5200,41144754,2012.0
5-14 years,0.00013,5340,41221035,2013.0
5-14 years,0.000127,5250,41191072,2014.0
5-14 years,0.000132,5411,41109506,2015.0
15-24 years,0.000793,30656,38676031,1999.0
15-24 years,0.000799,31307,39183891,2000.0
15-24 years,0.000802,32252,40213570,2001.0
15-24 years,0.000809,33046,40854135,2002.0
15-24 years,0.000811,33568,41388854,2003.0
15-24 years,0.000797,33421,41948112,2004.0
15-24 years,0.000807,34234,42446169,2005.0
15-24 years,0.000814,34887,42843844,2006.0
15-24 years,0.000788,33982,43145815,2007.0
15-24 years,0.000742,32198,43391492,2008.0
15-24 years,0.000698,30416,43576932,2009.0
15-24 years,0.000677,29551,43626342,2010.0
15-24 years,0.000677,29667,43797875,2011.0
15-24 years,0.000664,29182,43943905,2012.0
15-24 years,0.000648,28486,43954402,2013.0
15-24 years,0.000655,28791,43979821,2014.0
15-24 years,0.000695,30494,43848216,2015.0
25-34 years,0.001022,41066,40178406,1999.0
25-34 years,0.001014,40451,39891724,2000.0
25-34 years,0.001056,41683,39471522,2001.0
25-34 years,0.001051,41355,39349646,2002.0
25-34 years,0.001052,41300,39243795,2003.0
25-34 years,0.001041,40868,39266556,2004.0
25-34 years,0.001068,41925,39258647,2005.0
25-34 years,0.00109,42952,39395179,2006.0
25-34 years,0.001072,42572,39713463,2007.0
25-34 years,0.001051,42275,40207473,2008.0
25-34 years,0.001044,42502,40723342,2009.0
25-34 years,0.001029,42259,41063948,2010.0
25-34 years,0.001047,43748,41790498,2011.0
