,YEAR,AGELOW,AGEHIGH,POPPROJ,AGE GROUP,POPULATION
0,1990,0,5,19105401.9842,<4,18887075.0
1,1990,5,15,35655714.5641,5-14,35360381.0
2,1990,15,25,36273594.1446,15-24,36193896.0
3,1990,25,34,37517003.9994,25-34,42574509.0
4,1990,34,45,42121122.0851,35-44,37649458.0
5,1990,45,55,26331567.3543,45-54,25242747.0
6,1990,55,65,21152183.1149,55-64,21096727.0
7,1990,65,75,17977862.9295,65-74,18121686.0
8,1990,75,90,8944248.72952,75+,13181238.0
9,1991,0,5,19410040.6723,<4,19192292.0
10,1991,5,15,35886459.9201,5-14,36002022.0
11,1991,15,25,35858969.6822,15-24,35880630.0
12,1991,25,34,37088719.3289,25-34,42557714.0
13,1991,34,45,43011886.1839,35-44,38938407.0
14,1991,45,55,27239102.9682,45-54,25868454.0
15,1991,55,65,21198024.705,55-64,21048125.0
16,1991,65,75,18029370.5997,65-74,18286594.0
17,1991,75,90,9762179.01492,75+,13508135.0
18,1992,0,5,19608031.0515,<4,19513843.0
19,1992,5,15,36137219.1716,5-14,36647011.0
20,1992,15,25,35529885.484,15-24,35811729.0
21,1992,25,34,36580581.8842,25-34,42369718.0
22,1992,34,45,43778388.9873,35-44,39691667.0
23,1992,45,55,28228616.0775,45-54,27445813.0
24,1992,55,65,21285147.2623,55-64,21001271.0
25,1992,65,75,18063999.276,65-74,18481066.0
26,1992,75,90,10508093.3022,75+,13860739.0
27,1993,0,5,19687723.2615,<4,19713737.0
28,1993,5,15,36416692.1387,5-14,37329289.0
29,1993,15,25,35287080.595,15-24,35884548.0
30,1993,25,34,36013420.2329,25-34,42087557.0
31,1993,34,45,44409791.0038,35-44,40585063.0
32,1993,45,55,29283022.1104,45-54,28819195.0
33,1993,55,65,21425746.4048,55-64,21030610.0
34,1993,65,75,18084426.1299,65-74,18683324.0
35,1993,75,90,11178356.0147,75+,14204906.0
36,1994,0,5,19622186.1435,<4,19767366.0
37,1994,5,15,36754050.8647,5-14,37989983.0
38,1994,15,25,35127798.6943,15-24,35981703.0
39,1994,25,34,35410478.7174,25-34,41788610.0
40,1994,34,45,44897867.5745,35-44,41501595.0
41,1994,45,55,30381854.4523,45-54,30103228.0
