,YEAR,AGELOW,AGEHIGH,POPPROJ
0,2015,0,5,20382033.3974
1,2015,5,15,41010370.7698
2,2015,15,25,43597323.9829
3,2015,25,34,39725326.7451
4,2015,34,45,45308500.8668
5,2015,45,55,42701582.0883
6,2015,55,65,40632516.2715
7,2015,65,75,28200402.7363
8,2015,75,90,19175068.4774
9,2016,0,5,20899286.16
10,2016,5,15,40776283.6553
11,2016,15,25,43328175.4735
12,2016,25,34,39825493.54
13,2016,34,45,45427062.4611
14,2016,45,55,42290131.4551
15,2016,55,65,40912351.4668
16,2016,65,75,29063799.4394
17,2016,75,90,18505112.0724
18,2017,0,5,21366623.5259
19,2017,5,15,40563610.5485
20,2017,15,25,43047881.7353
21,2017,25,34,39871445.6125
22,2017,34,45,45614505.1376
23,2017,45,55,41872085.339
24,2017,55,65,41090043.0365
25,2017,65,75,29912717.9828
26,2017,75,90,18171970.7681
27,2018,0,5,21744899.0612
28,2018,5,15,40412274.0453
29,2018,15,25,42760706.4409
30,2018,25,34,39865050.4173
31,2018,34,45,45856616.1412
32,2018,45,55,41462518.0414
33,2018,55,65,41170970.7192
34,2018,65,75,30731904.5911
35,2018,75,90,18089690.4033
36,2019,0,5,21946182.1175
37,2019,5,15,40413518.1711
38,2019,15,25,42470479.214
39,2019,25,34,39810374.8656
40,2019,34,45,46136108.7921
41,2019,45,55,41077291.3022
42,2019,55,65,41162180.8446
43,2019,65,75,31506833.6748
44,2019,75,90,18196447.1489
45,2020,0,5,21943639.5508
46,2020,5,15,40603490.8002
47,2020,15,25,42180640.1224
48,2020,25,34,39712721.2617
49,2020,34,45,46434337.022
50,2020,45,55,40732058.6901
51,2020,55,65,41071978.4691
52,2020,65,75,32224308.6682
53,2020,75,90,18446838.1766
54,2021,0,5,21819693.1429
55,2021,5,15,40916309.9012
56,2021,15,25,41894316.9768
57,2021,25,34,39577781.5732
58,2021,34,45,46733242.6037
59,2021,45,55,40440752.1552
60,2021,55,65,40909538.2567
61,2021,65,75,32873164.0264
62,2021,75,90,18806619.2918
63,2022,0,5,21675558.7079
64,2022,5,15,41267937.1158
65,2022,15,25,41614390.5387
66,2022,25,34,39411182.2389
67,2022,34,45,47016701.8313
68,2022,45,55,40214342.3551
69,2022,55,65,40684664.1395
70,2022,65,75,33444733.5588
71,2022,75,90,19249114.2733
72,2023,0,5,21573451.4044
73,2023,5,15,41611191.5767
74,2023,15,25,41343585.9581
75,2023,25,34,39218302.2114
76,2023,34,45,47271154.1664
77,2023,45,55,40060204.4108
78,2023,55,65,40407721.2031
79,2023,65,75,33932986.4905
